D,M,Y,RH,RM,SH,SM
1,1,2017,8,6,16,3
2,1,2017,8,6,16,4
3,1,2017,8,6,16,5
4,1,2017,8,6,16,6
5,1,2017,8,5,16,7
6,1,2017,8,5,16,8
7,1,2017,8,5,16,10
8,1,2017,8,4,16,11
9,1,2017,8,4,16,12
10,1,2017,8,3,16,14
11,1,2017,8,2,16,15
12,1,2017,8,2,16,17
13,1,2017,8,1,16,18
14,1,2017,8,0,16,20
15,1,2017,7,59,16,21
16,1,2017,7,59,16,23
17,1,2017,7,58,16,24
18,1,2017,7,57,16,26
19,1,2017,7,56,16,28
20,1,2017,7,55,16,29
21,1,2017,7,53,16,31
22,1,2017,7,52,16,33
23,1,2017,7,51,16,34
24,1,2017,7,50,16,36
25,1,2017,7,49,16,38
26,1,2017,7,47,16,40
27,1,2017,7,46,16,41
28,1,2017,7,45,16,43
29,1,2017,7,43,16,45
30,1,2017,7,42,16,47
31,1,2017,7,40,16,49
1,2,2017,7,39,16,50
2,2,2017,7,37,16,52
3,2,2017,7,36,16,54
4,2,2017,7,34,16,56
5,2,2017,7,32,16,58
6,2,2017,7,31,17,0
7,2,2017,7,29,17,1
8,2,2017,7,27,17,3
9,2,2017,7,25,17,5
10,2,2017,7,24,17,7
11,2,2017,7,22,17,9
12,2,2017,7,20,17,11
13,2,2017,7,18,17,12
14,2,2017,7,16,17,14
15,2,2017,7,14,17,16
16,2,2017,7,12,17,18
17,2,2017,7,10,17,20
18,2,2017,7,8,17,21
19,2,2017,7,6,17,23
20,2,2017,7,4,17,25
21,2,2017,7,2,17,27
22,2,2017,7,0,17,29
23,2,2017,6,58,17,31
24,2,2017,6,56,17,32
25,2,2017,6,54,17,34
26,2,2017,6,52,17,36
27,2,2017,6,50,17,38
28,2,2017,6,48,17,39
1,3,2017,6,46,17,41
2,3,2017,6,43,17,43
3,3,2017,6,41,17,45
4,3,2017,6,39,17,46
5,3,2017,6,37,17,48
6,3,2017,6,35,17,50
7,3,2017,6,32,17,52
8,3,2017,6,30,17,53
9,3,2017,6,28,17,55
10,3,2017,6,26,17,57
11,3,2017,6,24,17,59
12,3,2017,6,21,18,0
13,3,2017,6,19,18,2
14,3,2017,6,17,18,4
15,3,2017,6,15,18,5
16,3,2017,6,12,18,7
17,3,2017,6,10,18,9
18,3,2017,6,8,18,11
19,3,2017,6,5,18,12
20,3,2017,6,3,18,14
21,3,2017,6,1,18,16
22,3,2017,5,59,18,17
23,3,2017,5,56,18,19
24,3,2017,5,54,18,21
25,3,2017,5,52,18,22
26,3,2017,5,49,18,24
27,3,2017,5,47,18,26
28,3,2017,5,45,18,27
29,3,2017,5,43,18,29
30,3,2017,5,40,18,31
31,3,2017,5,38,18,32
1,4,2017,5,36,18,34
2,4,2017,5,34,18,36
3,4,2017,5,31,18,38
4,4,2017,5,29,18,39
5,4,2017,5,27,18,41
6,4,2017,5,25,18,43
7,4,2017,5,22,18,44
8,4,2017,5,20,18,46
9,4,2017,5,18,18,48
10,4,2017,5,16,18,49
11,4,2017,5,13,18,51
12,4,2017,5,11,18,53
13,4,2017,5,9,18,54
14,4,2017,5,7,18,56
15,4,2017,5,5,18,58
16,4,2017,5,3,18,59
17,4,2017,5,1,19,1
18,4,2017,4,58,19,3
19,4,2017,4,56,19,4
20,4,2017,4,54,19,6
21,4,2017,4,52,19,8
22,4,2017,4,50,19,9
23,4,2017,4,48,19,11
24,4,2017,4,46,19,13
25,4,2017,4,44,19,14
26,4,2017,4,42,19,16
27,4,2017,4,40,19,18
28,4,2017,4,38,19,19
29,4,2017,4,36,19,21
30,4,2017,4,34,19,23
1,5,2017,4,32,19,24
2,5,2017,4,31,19,26
3,5,2017,4,29,19,27
4,5,2017,4,27,19,29
5,5,2017,4,25,19,31
6,5,2017,4,23,19,32
7,5,2017,4,22,19,34
8,5,2017,4,20,19,35
9,5,2017,4,18,19,37
10,5,2017,4,17,19,39
11,5,2017,4,15,19,40
12,5,2017,4,13,19,42
13,5,2017,4,12,19,43
14,5,2017,4,10,19,45
15,5,2017,4,9,19,46
16,5,2017,4,7,19,48
17,5,2017,4,6,19,49
18,5,2017,4,4,19,51
19,5,2017,4,3,19,52
20,5,2017,4,2,19,54
21,5,2017,4,0,19,55
22,5,2017,3,59,19,56
23,5,2017,3,58,19,58
24,5,2017,3,57,19,59
25,5,2017,3,56,20,0
26,5,2017,3,55,20,2
27,5,2017,3,54,20,3
28,5,2017,3,53,20,4
29,5,2017,3,52,20,5
30,5,2017,3,51,20,6
31,5,2017,3,50,20,7
1,6,2017,3,49,20,9
2,6,2017,3,48,20,10
3,6,2017,3,48,20,11
4,6,2017,3,47,20,12
5,6,2017,3,46,20,13
6,6,2017,3,46,20,13
7,6,2017,3,45,20,14
8,6,2017,3,45,20,15
9,6,2017,3,44,20,16
10,6,2017,3,44,20,17
11,6,2017,3,44,20,17
12,6,2017,3,43,20,18
13,6,2017,3,43,20,19
14,6,2017,3,43,20,19
15,6,2017,3,43,20,20
16,6,2017,3,43,20,20
17,6,2017,3,43,20,21
18,6,2017,3,43,20,21
19,6,2017,3,43,20,21
20,6,2017,3,43,20,21
21,6,2017,3,43,20,22
22,6,2017,3,44,20,22
23,6,2017,3,44,20,22
24,6,2017,3,44,20,22
25,6,2017,3,45,20,22
26,6,2017,3,45,20,22
27,6,2017,3,45,20,22
28,6,2017,3,46,20,22
29,6,2017,3,47,20,21
30,6,2017,3,47,20,21
1,7,2017,3,48,20,21
2,7,2017,3,49,20,21
3,7,2017,3,49,20,20
4,7,2017,3,50,20,20
5,7,2017,3,51,20,19
6,7,2017,3,52,20,19
7,7,2017,3,53,20,18
8,7,2017,3,54,20,17
9,7,2017,3,55,20,17
10,7,2017,3,56,20,16
11,7,2017,3,57,20,15
12,7,2017,3,58,20,14
13,7,2017,3,59,20,13
14,7,2017,4,0,20,12
15,7,2017,4,1,20,11
16,7,2017,4,2,20,10
17,7,2017,4,4,20,9
18,7,2017,4,5,20,8
19,7,2017,4,6,20,7
20,7,2017,4,7,20,6
21,7,2017,4,9,20,4
22,7,2017,4,10,20,3
23,7,2017,4,12,20,2
24,7,2017,4,13,20,1
25,7,2017,4,14,19,59
26,7,2017,4,16,19,58
27,7,2017,4,17,19,56
28,7,2017,4,19,19,55
29,7,2017,4,20,19,53
30,7,2017,4,22,19,52
31,7,2017,4,23,19,50
1,8,2017,4,25,19,48
2,8,2017,4,26,19,47
3,8,2017,4,28,19,45
4,8,2017,4,29,19,43
5,8,2017,4,31,19,42
6,8,2017,4,32,19,40
7,8,2017,4,34,19,38
8,8,2017,4,35,19,36
9,8,2017,4,37,19,34
10,8,2017,4,38,19,32
11,8,2017,4,40,19,31
12,8,2017,4,42,19,29
13,8,2017,4,43,19,27
14,8,2017,4,45,19,25
15,8,2017,4,46,19,23
16,8,2017,4,48,19,21
17,8,2017,4,49,19,19
18,8,2017,4,51,19,17
19,8,2017,4,53,19,15
20,8,2017,4,54,19,13
21,8,2017,4,56,19,11
22,8,2017,4,57,19,8
23,8,2017,4,59,19,6
24,8,2017,5,1,19,4
25,8,2017,5,2,19,2
26,8,2017,5,4,19,0
27,8,2017,5,5,18,58
28,8,2017,5,7,18,56
29,8,2017,5,9,18,53
30,8,2017,5,10,18,51
31,8,2017,5,12,18,49
1,9,2017,5,13,18,47
2,9,2017,5,15,18,44
3,9,2017,5,17,18,42
4,9,2017,5,18,18,40
5,9,2017,5,20,18,38
6,9,2017,5,21,18,35
7,9,2017,5,23,18,33
8,9,2017,5,25,18,31
9,9,2017,5,26,18,29
10,9,2017,5,28,18,26
11,9,2017,5,29,18,24
12,9,2017,5,31,18,22
13,9,2017,5,32,18,19
14,9,2017,5,34,18,17
15,9,2017,5,36,18,15
16,9,2017,5,37,18,13
17,9,2017,5,39,18,10
18,9,2017,5,40,18,8
19,9,2017,5,42,18,6
20,9,2017,5,44,18,3
21,9,2017,5,45,18,1
22,9,2017,5,47,17,59
23,9,2017,5,48,17,56
24,9,2017,5,50,17,54
25,9,2017,5,52,17,52
26,9,2017,5,53,17,50
27,9,2017,5,55,17,47
28,9,2017,5,57,17,45
29,9,2017,5,58,17,43
30,9,2017,6,0,17,40
1,10,2017,6,1,17,38
2,10,2017,6,3,17,36
3,10,2017,6,5,17,34
4,10,2017,6,6,17,31
5,10,2017,6,8,17,29
6,10,2017,6,10,17,27
7,10,2017,6,11,17,25
8,10,2017,6,13,17,22
9,10,2017,6,15,17,20
10,10,2017,6,16,17,18
11,10,2017,6,18,17,16
12,10,2017,6,20,17,14
13,10,2017,6,21,17,11
14,10,2017,6,23,17,9
15,10,2017,6,25,17,7
16,10,2017,6,26,17,5
17,10,2017,6,28,17,3
18,10,2017,6,30,17,1
19,10,2017,6,32,16,59
20,10,2017,6,33,16,57
21,10,2017,6,35,16,55
22,10,2017,6,37,16,53
23,10,2017,6,39,16,51
24,10,2017,6,40,16,49
25,10,2017,6,42,16,47
26,10,2017,6,44,16,45
27,10,2017,6,46,16,43
28,10,2017,6,47,16,41
29,10,2017,6,49,16,39
30,10,2017,6,51,16,37
31,10,2017,6,53,16,35
1,11,2017,6,54,16,33
2,11,2017,6,56,16,32
3,11,2017,6,58,16,30
4,11,2017,7,0,16,28
5,11,2017,7,1,16,26
6,11,2017,7,3,16,25
7,11,2017,7,5,16,23
8,11,2017,7,7,16,21
9,11,2017,7,8,16,20
10,11,2017,7,10,16,18
11,11,2017,7,12,16,17
12,11,2017,7,14,16,15
13,11,2017,7,15,16,14
14,11,2017,7,17,16,13
15,11,2017,7,19,16,11
16,11,2017,7,21,16,10
17,11,2017,7,22,16,9
18,11,2017,7,24,16,7
19,11,2017,7,26,16,6
20,11,2017,7,27,16,5
21,11,2017,7,29,16,4
22,11,2017,7,31,16,3
23,11,2017,7,32,16,2
24,11,2017,7,34,16,1
25,11,2017,7,35,16,0
26,11,2017,7,37,15,59
27,11,2017,7,38,15,58
28,11,2017,7,40,15,57
29,11,2017,7,41,15,56
30,11,2017,7,43,15,56
1,12,2017,7,44,15,55
2,12,2017,7,45,15,54
3,12,2017,7,47,15,54
4,12,2017,7,48,15,53
5,12,2017,7,49,15,53
6,12,2017,7,51,15,53
7,12,2017,7,52,15,52
8,12,2017,7,53,15,52
9,12,2017,7,54,15,52
10,12,2017,7,55,15,52
11,12,2017,7,56,15,52
12,12,2017,7,57,15,52
13,12,2017,7,58,15,52
14,12,2017,7,59,15,52
15,12,2017,8,0,15,52
16,12,2017,8,1,15,52
17,12,2017,8,1,15,52
18,12,2017,8,2,15,52
19,12,2017,8,3,15,53
20,12,2017,8,3,15,53
21,12,2017,8,4,15,54
22,12,2017,8,4,15,54
23,12,2017,8,5,15,55
24,12,2017,8,5,15,55
25,12,2017,8,6,15,56
26,12,2017,8,6,15,57
27,12,2017,8,6,15,58
28,12,2017,8,6,15,59
29,12,2017,8,6,15,59
30,12,2017,8,6,16,0
31,12,2017,8,6,16,1
,,},,,,